timestamp,symbol,action,price,quantity,confidence,gain,take_profit,stop_loss,outcome
1750395301.1154428,ETH,BUY,2505.71,0.001995,0.7256825534670573,0.054000000000000006,2641.01834,2480.6529,1
1750395302.4925573,BTC,BUY,104255.77,4.8e-05,0.7256825534670573,0.054000000000000006,109885.58158000001,103213.2123,1
1750395304.3711202,AAVE,BUY,252.48,0.019804,0.7256825534670573,0.054000000000000006,266.11392,249.9552,1
1750395305.9023,SUI,BUY,2.7756,1.801412,0.7071687384769646,0.054000000000000006,2.9254824,2.7478439999999997,1
1750395307.0595121,VIRTUAL,BUY,1.637,3.054368,0.7220035346637363,0.054000000000000006,1.725398,1.62063,1
1750395308.609935,SOL,BUY,144.44,0.034616,0.7256825534670573,0.054000000000000006,152.23976000000002,142.9956,1
1750395310.1467805,UNI,BUY,7.462,0.670062,0.7256825534670573,0.054000000000000006,7.864948,7.387379999999999,1
1750395311.6802566,KAITO,BUY,1.4018,3.566843,0.668991199965326,0.054000000000000006,1.4774972,1.3877819999999998,1
1750395313.2332594,FUN,BUY,0.004672,1070.205479,0.5092401541961682,0.054000000000000006,0.004924288,0.00462528,1
1750395314.7797651,XRP,BUY,2.1473,2.328506,0.7061307732543982,0.054000000000000006,2.2632542,2.125827,1
1750395316.3195899,HBAR,BUY,0.14573,34.310025,0.5127645335102887,0.054000000000000006,0.15359942000000001,0.1442727,1
1750395317.4797795,BNB,BUY,641.7,0.007792,0.7256825534670573,0.054000000000000006,676.3518,635.283,1
1750395319.0064676,NXPC,BUY,1.004,4.98008,0.6078560517435634,0.054000000000000006,1.058216,0.99396,1
1750395320.5386574,FORM,BUY,2.4214,2.064921,0.6565436183965792,0.054000000000000006,2.5521556000000003,2.397186,1
1750395322.0817227,HUMA,BUY,0.03841,130.174434,0.5093003867530357,0.054000000000000006,0.04048414,0.0380259,1
1750395323.6114347,ORDI,BUY,7.409,0.674855,0.7256825534670573,0.054000000000000006,7.809086,7.33491,1
1750395325.1480255,CRV,BUY,0.5728,8.72905,0.5217454125892235,0.054000000000000006,0.6037312,0.567072,1
1750395326.692037,ADA,BUY,0.5909,8.461669,0.5198517538976279,0.054000000000000006,0.6228086,0.5849909999999999,1
1750395328.2529044,WBTC,BUY,104250.62,4.8e-05,0.7278785776293742,0.054000000000000006,109880.15348,103208.11379999999,1
1750395329.8160002,LTC,BUY,84.31,0.059305,0.7256825534670573,0.054000000000000006,88.86274,83.4669,1
1750395331.3602312,T,BUY,0.01826,273.822563,0.5157381347684508,0.054000000000000006,0.01924604,0.018077399999999997,1
1750395332.9189801,ALT,BUY,0.03331,150.105074,0.5106425283432061,0.054000000000000006,0.03510874,0.032976899999999996,1
1750395334.0888097,INIT,BUY,0.4848,10.313531,0.5049945461044691,0.054000000000000006,0.5109792000000001,0.479952,1
1750395335.252091,JUP,BUY,0.3941,12.687135,0.5036549871921765,0.054000000000000006,0.4153814,0.390159,1
1750395336.4217718,RSR,BUY,0.006356,786.658276,0.5092401541961682,0.054000000000000006,0.006699224,0.00629244,1
1750395337.9678092,APE,BUY,0.6196,8.069722,0.5186468327669927,0.054000000000000006,0.6530584,0.6134040000000001,1
1750395339.519003,LPT,BUY,6.121,0.81686,0.7256825534670573,0.054000000000000006,6.4515340000000005,6.0597900000000005,1
1750395340.7871108,SYRUP,BUY,0.4674,10.697475,0.504331305746061,0.054000000000000006,0.4926396,0.46272599999999997,1
1750395342.32261,ONDO,BUY,0.7571,6.604147,0.5327114277307179,0.054000000000000006,0.7979834,0.749529,1
1750395343.4837387,RAY,BUY,2.095,2.386635,0.7202470429269023,0.054000000000000006,2.20813,2.07405,1
1750395345.0228598,BCH,BUY,491.4,0.010175,0.7256825534670573,0.054000000000000006,517.9356,486.486,1
1750395346.5524063,PAXG,BUY,3377.01,0.001481,0.7256825534670573,0.054000000000000006,3559.3685400000004,3343.2399,1
1750395348.0993848,TRB,BUY,39.8,0.125628,0.7256825534670573,0.054000000000000006,41.9492,39.401999999999994,1
1750395349.6404529,QNT,BUY,97.43,0.051319,0.7256825534670573,0.054000000000000006,102.69122000000002,96.45570000000001,1
1750395351.1916056,WCT,BUY,0.3284,15.225335,0.5051559201992029,0.054000000000000006,0.34613360000000004,0.325116,1
1750395352.7366388,ENA,BUY,0.2793,17.901898,0.5027594388028107,0.054000000000000006,0.2943822,0.276507,1
1750395354.2856033,NEIRO,BUY,0.00037602,13297.165044,0.5103478731275146,0.054000000000000006,0.00039632508000000006,0.0003722598,1
1750395355.8293686,KAIA,BUY,0.1788,27.964206,0.5197601549320421,0.054000000000000006,0.1884552,0.17701199999999997,1
1750395357.374635,DYDX,BUY,0.4991,10.018032,0.5097768994841827,0.054000000000000006,0.5260514000000001,0.49410899999999996,1
1750395358.547568,DOT,BUY,3.469,1.441338,0.7256825534670573,0.054000000000000006,3.656326,3.43431,1
1750395360.147024,BABY,BUY,0.04802,104.123282,0.5071702784350096,0.054000000000000006,0.050613080000000005,0.0475398,1
1750395361.3173077,KMNO,BUY,0.06526,76.61661,0.5094424009917369,0.054000000000000006,0.06878404,0.0646074,1
1750395362.8520238,APT,BUY,4.328,1.155268,0.7256825534670573,0.054000000000000006,4.561712000000001,4.28472,1
1750395364.3875535,LAYER,BUY,0.6243,8.00897,0.5172520854382668,0.054000000000000006,0.6580122,0.618057,1
1750395365.9187512,ICP,BUY,4.999,1.0002,0.7256825534670573,0.054000000000000006,5.268946,4.9490099999999995,1
1750395367.4572387,JTO,BUY,2.223,2.249213,0.6797482177741856,0.054000000000000006,2.343042,2.20077,1
