timestamp,open,high,low,close,price,market_cap,total_volume,EMA_10,EMA_30,RSI,fvg_up,fvg_down,fair_value_gap,bullish_engulfing,bearish_engulfing
2025-03-09,0.960054,0.984485,0.877755,0.888194,0.8420743497612426,921097950.9417886,195182335.53016958,0.8420743497612426,0.8420743497612426,,False,False,False,False,False
2025-03-13,0.888409,0.894945,0.708589,0.841314,0.8411358625009835,925579164.3436258,150499065.8374525,0.8419037157139226,0.8420138021960647,,False,False,False,False,False
2025-03-17,0.841136,0.895207,0.806617,0.833199,0.8325807615253877,969625669.2868259,128395904.74776931,0.8402086331341889,0.8414052189269888,,False,False,False,False,False
2025-03-21,0.832581,0.915882,0.812844,0.856316,0.8563440387451484,1007201590.4599111,122981826.23769811,0.8431423432452725,0.8423690137539669,,False,False,False,True,False
2025-03-25,0.85911,0.938555,0.812361,0.90375,0.9049094580823183,1077744608.0340693,240176870.45054373,0.854372727761099,0.8464038811299897,,False,False,False,False,False
2025-03-29,0.904909,0.979263,0.833761,0.84128,0.8412802203175258,1017246792.7497925,142844419.55051687,0.8519922718622674,0.8460733223678953,,False,False,False,False,True
2025-04-02,0.841747,0.847812,0.747926,0.80303,0.8023507367080704,980425779.9155543,122864720.55189455,0.8429665381978679,0.8432525103898422,,False,False,False,False,False
2025-04-06,0.802351,0.802543,0.707238,0.746163,0.7446134696806742,917571879.3006936,53997364.203163005,0.8250841621038326,0.8368887013118314,,False,False,False,False,False
2025-04-10,0.744613,0.744613,0.583741,0.709723,0.7097974841999539,882261308.9042403,195343445.44173837,0.8041229479394909,0.8286892679497747,,False,False,False,False,False
2025-04-14,0.709797,0.789736,0.677947,0.741755,0.7423224087531267,927219222.6378858,103605236.24087758,0.7928864862692429,0.823117212517733,,False,False,False,False,False
2025-04-18,0.742322,0.77137,0.683046,0.699515,0.6999291216623055,889138128.9877697,79895364.45772463,0.7759851472497996,0.8151695937528667,,False,False,False,False,True
2025-04-22,0.699991,0.799104,0.695696,0.76579,0.765494735250614,988535274.6608679,98460210.53633264,0.774077799613584,0.8119647641720762,,False,False,False,False,False
2025-04-26,0.765832,1.069,0.755654,1.051,1.0493433635954996,1368337591.8119543,317633793.6140042,0.8241260839739322,0.8272795125219745,,False,False,False,False,False
2025-04-30,1.049,1.25,1.049,1.087,1.088440461807426,1435027199.1218348,295691130.3237375,0.872183243580022,0.8441286060242618,,False,False,False,False,False
2025-05-04,1.088,1.17,0.954915,0.9569,0.9566762292946199,1265277766.3863347,134547100.84001914,0.8875456046190398,0.8513897430094463,56.570243925546514,False,False,False,False,True
2025-05-08,0.956115,0.969197,0.857074,0.928087,0.9290415422791647,1278442307.174217,176646466.32311496,0.8950903205572442,0.8563995365107185,54.89003720632654,False,False,False,False,False
2025-05-12,0.929042,1.34,0.927536,1.26,1.2608469926663028,1746359992.1320593,457665515.4228713,0.9615915336679821,0.8824929207788208,67.52209864659875,False,False,False,False,False
2025-05-16,1.26,1.34,1.12,1.14,1.143015382678646,1706901051.8377976,214735630.06281438,0.9945776880335573,0.8993008215465514,60.890585608425816,False,False,False,False,False
2025-05-20,1.14,1.19,1.064,1.13,1.1290165389342033,1687544009.2926462,228890991.99408257,1.0190211154700384,0.914121190410271,58.74341512977258,False,False,False,False,False
2025-05-24,1.13,1.63,1.073,1.35,1.3511954992664348,2054025662.8344786,934017814.7350292,1.079416457978474,0.9423195329171202,67.70384166022953,False,False,False,False,False
2025-05-28,1.35,1.5,1.32,1.41,1.4061594070167633,2159487235.0806284,395477276.970079,1.1388242668945265,0.9722446860848392,70.73290244983328,False,False,False,False,False
2025-06-01,1.41,1.41,1.082,1.14,1.1366385601330562,1763767788.8009593,255425675.5306506,1.1384268656651682,0.9828507424750468,61.751745640653596,False,False,False,False,False
2025-06-05,1.14,1.25,1.1,1.14,1.1422718385393063,1787145194.489874,177799764.9674484,1.1391259516422843,0.9931359744791927,63.19515954460247,False,False,False,False,False
