timestamp,open,high,low,close,price,market_cap,total_volume,EMA_10,EMA_30,RSI,fvg_up,fvg_down,fair_value_gap,bullish_engulfing,bearish_engulfing
2025-03-09,3.09,3.22,2.91,3.11,2.9118264828456684,1868786255.6363356,172648995.58712214,2.9118264828456684,2.9118264828456684,,False,False,False,False,False
2025-03-13,3.1,3.12,2.48,2.79,2.7944389687360927,1795438453.3121297,138756233.9708102,2.890483298462109,2.904253094838599,,False,False,False,False,False
2025-03-17,2.79,2.97,2.67,2.84,2.834685852458996,1826188417.0414834,94146523.09369692,2.8803383082797245,2.8997648856528184,,False,False,False,False,False
2025-03-21,2.83,3.11,2.83,3.05,3.0438102021848183,1965653806.7738433,118906173.84965958,2.9100604708079234,2.9090581318806894,,False,False,False,False,False
2025-03-25,3.04,3.19,2.88,3.12,3.1273461033644083,2021048805.141087,142215933.1917579,2.9495669494545567,2.923141226815123,,False,False,False,False,False
2025-03-29,3.13,3.21,2.79,2.83,2.826519694752036,1824995892.2466934,132611567.24172284,2.9271947213268255,2.9169075795852466,,False,False,False,False,True
2025-04-02,2.83,2.93,2.71,2.84,2.8360289617248373,1837617672.8867335,141556412.21069935,2.910619128671918,2.9116896042394136,,False,False,False,False,False
2025-04-06,2.84,3.02,2.62,2.7,2.698799960915624,1750510616.4343326,104795527.34075955,2.872106552716228,2.8979547885411048,,False,False,False,False,False
2025-04-10,2.7,2.71,2.14,2.47,2.47134604260998,1601811015.8190596,197392843.304209,2.7992410054241827,2.8704316436423225,,False,False,False,False,False
2025-04-14,2.47,2.58,2.31,2.49,2.491050074949508,1621029102.057705,97637619.28214884,2.7432062907924237,2.8459554134040763,,False,False,False,False,False
2025-04-18,2.49,2.59,2.33,2.38,2.381074660566386,1559791691.233588,76917213.2180485,2.677364176205871,2.815963106769387,,False,False,False,False,False
2025-04-22,2.38,2.71,2.37,2.61,2.6064856401057828,1718572066.683484,106650488.21875028,2.6644771696422183,2.8024484315007676,,False,False,False,False,False
2025-04-26,2.61,2.9,2.49,2.86,2.8653707182708397,1892724732.2901535,129263920.10809925,2.701003269392877,2.8065079338730308,,False,False,False,False,False
2025-04-30,2.86,2.92,2.66,2.74,2.7413566783574965,1817281084.0229483,100989433.49881168,2.7083402528409897,2.802304627065577,,False,False,False,False,False
2025-05-04,2.74,2.89,2.61,2.65,2.6506118932398635,1760385085.383369,101733448.91510011,2.6978441874589665,2.7925179990768214,43.31606371234168,False,False,False,False,False
2025-05-08,2.65,2.68,2.5,2.59,2.58903965020003,1719594660.572204,100590391.54353704,2.678061544320978,2.7793903636654154,44.58972122804855,False,False,False,False,False
2025-05-12,2.59,3.3,2.58,3.14,3.1398198122808445,2088565946.101041,188148211.83226395,2.7620175930409534,2.802643876479314,56.33382431092606,False,False,False,False,False
2025-05-16,3.14,3.28,2.9,2.93,2.9354818118580224,1955838985.4756932,166901574.82922825,2.793556541916784,2.8112140658585854,47.74689421324392,False,False,False,False,False
2025-05-20,2.93,3.01,2.75,2.86,2.862343286417575,1910365153.4544337,153289138.20869705,2.8060632227351094,2.8145127252494877,44.464304273164096,False,False,False,False,False
2025-05-24,2.86,3.14,2.78,2.85,2.845447521167637,1903384497.449843,215130495.80772597,2.813224004268296,2.8165085185345298,50.44860084714275,False,False,False,False,False
2025-05-28,2.84,2.91,2.74,2.88,2.881140738616156,1939359608.1292543,143671449.78551984,2.825572501422452,2.8206783391849575,51.05606878490762,False,False,False,True,False
2025-06-01,2.88,2.94,2.46,2.6,2.598675135864538,1750961931.5410838,173406562.0590486,2.7843184349573766,2.806355551873963,47.80531181388978,False,False,False,False,False
2025-06-05,2.6,2.68,2.52,2.57,2.566885798242146,1732313040.495064,89306240.50643528,2.74478522828188,2.79090589034933,52.29067388823212,False,False,False,False,False
