timestamp,open,high,low,close,price,market_cap,total_volume,EMA_10,EMA_30,RSI,fvg_up,fvg_down,fair_value_gap,bullish_engulfing,bearish_engulfing
2025-03-09,208.59,211.47,185.49,195.7,195.91808992441963,2962834843.7901187,531828329.75895745,195.91808992441963,195.91808992441963,,False,False,False,False,False
2025-03-13,195.65,199.93,164.76,175.03,174.95757242416997,2637721252.7745566,514609969.13187116,192.10708674255605,194.56579847279062,,False,False,False,False,False
2025-03-17,174.71,176.69,160.47,165.03,165.2848533307661,2488580191.701246,212566875.76688746,187.2303170313215,192.6767052378213,,False,False,False,False,False
2025-03-21,164.9,184.14,164.9,178.26,178.34296377383143,2691105740.654432,296145486.66898865,185.61443462086876,191.7519477240155,,False,False,False,True,False
2025-03-25,178.34,194.3,174.53,190.01,190.6319905290275,2874487226.8339243,277083767.78635037,186.52671751326125,191.67969242111306,,False,False,False,False,False
2025-03-29,190.63,192.17,169.08,175.55,175.58790863099267,2648979902.874387,297232655.3938968,184.5378431710306,190.64151282175047,,False,False,False,False,True
2025-04-02,175.59,179.98,152.46,166.44,166.2590091671919,2513225608.150677,256396613.29986903,181.21441880669627,189.06844806984347,,False,False,False,False,False
2025-04-06,166.26,166.4,145.58,152.87,152.6791865219196,2305155638.155343,153444381.8329517,176.0261947549187,186.72075377642904,,False,False,False,False,False
2025-04-10,152.68,152.68,114.93,142.87,143.00491106126586,2156877131.515168,424209663.3157692,170.02232499243632,183.9003768270637,,False,False,False,False,False
2025-04-14,143.0,149.8,128.81,139.07,139.03865264453867,2100533973.8041186,214101420.44677004,164.3889300200913,181.00607204109437,,False,False,False,False,False
2025-04-18,139.04,146.8,131.37,138.68,138.75630701179162,2096428995.9367476,183624727.0523062,159.72845310949134,178.2802807488813,,False,False,False,False,False
2025-04-22,138.85,145.86,137.09,142.64,142.70720107238128,2156616759.134696,206903305.37327892,156.63368001183497,175.98524335039744,,False,False,False,False,False
2025-04-26,142.78,170.06,141.07,166.85,167.2988162560738,2518227073.7917013,315086388.35644424,158.57279569260564,175.42482869915077,,False,False,False,False,False
2025-04-30,166.72,178.87,162.76,165.81,165.83464738811415,2505362185.1481876,222349314.89709964,159.89313236451625,174.80610732424518,,False,False,False,False,False
2025-05-04,165.83,180.41,157.1,178.08,178.02861870654837,2689673009.638992,199740511.43078625,163.190493517613,175.01401128439377,44.039096416767094,False,False,False,False,False
2025-05-08,178.03,180.45,163.84,172.02,172.63315626957134,2604120473.337414,251101266.8216837,164.9073412906963,174.86040773505042,49.13585113811052,False,False,False,False,False
2025-05-12,172.02,229.37,172.02,220.48,220.63062205323925,3333769282.1951933,317820036.9582396,175.03884688388592,177.8133247878368,66.01288108232555,False,False,False,False,False
2025-05-16,220.63,237.91,211.41,222.64,223.17131114037835,3371792534.6938276,449091854.9517918,183.79020402143,180.73964648800077,63.81042203474223,False,False,False,False,False
2025-05-20,222.95,247.13,213.6,247.13,247.64816332312313,3735562894.0650663,580803586.9857836,195.40074207628328,185.05632499349255,66.33824793545949,False,False,False,False,False
2025-05-24,247.09,269.13,243.54,255.26,255.2557328201199,3863259813.0886707,784471880.8210686,206.28346766607174,189.58531904682334,73.84546119952546,False,False,False,False,False
2025-05-28,255.47,281.42,252.32,272.06,272.0587566565782,4120790859.9331145,497616555.7648315,218.2426111188911,194.9061859893882,80.3108730795683,False,False,False,False,False
2025-06-01,271.75,273.65,242.98,248.53,247.73261350466063,3760726163.6300807,397886738.3099424,223.60442973448554,198.31434260327677,75.65257460264175,False,False,False,False,False
2025-06-05,247.73,273.89,239.16,265.36,265.0671247130325,4017053255.8198643,431459634.5916882,231.1431015487668,202.62097370713198,81.63364939060943,False,False,False,False,False
