timestamp,open,high,low,close,price,market_cap,total_volume,EMA_10,EMA_30,RSI,fvg_up,fvg_down,fair_value_gap,bullish_engulfing,bearish_engulfing
2025-03-09,2201.04,2244.58,2104.64,2200.0,2124.739658780596,256314177145.1158,27570124061.68763,2124.739658780596,2124.739658780596,,False,False,False,False,False
2025-03-13,2201.42,2207.54,1791.23,1910.66,1909.0465779593417,229971479977.13364,24398691821.19675,2085.522734994913,2110.8239761469667,,False,False,False,False,False
2025-03-17,1906.88,1951.3,1825.63,1887.76,1888.6612937237092,227717425458.8452,9318852358.4434,2049.729745672876,2096.490899861595,,False,False,False,False,False
2025-03-21,1887.3,2067.11,1874.09,1980.83,1979.9131141463024,238929592319.23544,14283437683.896486,2037.0358126680444,2088.9697523960926,,False,False,False,True,False
2025-03-25,1985.52,2102.94,1938.9,2077.74,2078.6015272329155,250761023249.2919,15868016552.215559,2044.5932153162028,2088.3008346436295,,False,False,False,False,False
2025-03-29,2078.6,2094.97,1866.54,1896.92,1896.9173600459985,228784244898.24844,18419487648.39739,2017.7430598125293,2075.953513701847,,False,False,False,False,True
2025-04-02,1896.32,1923.93,1782.69,1907.17,1905.2233086975891,229898920998.63043,16005037424.423508,1997.2849232461763,2064.9386617660884,,False,False,False,False,False
2025-04-06,1905.22,1934.1,1756.99,1809.94,1806.9138407099463,218112323508.02707,6788018038.11848,1962.6719991486798,2048.291899117305,,False,False,False,False,False
2025-04-10,1806.91,1813.53,1398.62,1662.53,1667.065136499343,201022242329.5708,42656695237.383934,1908.9252968488001,2023.6966241096948,,False,False,False,False,False
2025-04-14,1667.07,1667.07,1487.25,1595.42,1596.4089120380506,192626354261.9052,13786505201.810066,1852.1041359741184,1996.1296749437824,,False,False,False,False,False
2025-04-18,1596.41,1684.05,1551.41,1583.48,1583.445590655848,191101144482.32,10278501471.354063,1803.2571277344327,1969.504895312303,,False,False,False,False,False
2025-04-22,1583.45,1651.18,1570.08,1577.45,1578.7839199994824,190565850488.98645,14359753340.079365,1762.4438172371688,1944.2970904534113,,False,False,False,False,False
2025-04-26,1578.78,1819.79,1558.65,1788.8,1790.5351144924468,216019539517.91592,16439869520.384321,1767.5513258290373,1934.376962972059,,False,False,False,False,False
2025-04-30,1787.36,1848.73,1754.97,1796.97,1798.9291194006541,217028602076.0241,12878759220.198395,1773.2563792056949,1925.6383924190652,,False,False,False,False,False
2025-05-04,1798.93,1867.18,1750.28,1834.5,1834.483783405862,221394354983.4308,6695271351.58823,1784.3886345148162,1919.7574499020843,37.88731093787937,False,False,False,False,False
2025-05-08,1834.07,1847.56,1757.78,1810.32,1811.709547761422,218563873268.25906,47107548082.49978,1789.3560732869262,1912.7866175059125,45.1584654616395,False,False,False,False,False
2025-05-12,1811.71,2587.26,1810.91,2507.47,2509.652769049867,302961308420.7588,25926958924.607414,1920.319108880188,1951.2941111539099,68.45127915121068,False,False,False,False,False
2025-05-16,2509.65,2708.81,2425.76,2542.3,2545.164709532804,307010201169.10144,25936977821.052677,2033.9273999079362,1989.608343307387,67.37047342187626,False,False,False,False,False
2025-05-20,2545.16,2631.38,2367.75,2526.99,2530.030833562055,305147639295.4895,26069807684.276165,2124.128024208685,2024.4743104205916,64.62363001420849,False,False,False,False,False
2025-05-24,2527.81,2720.92,2460.59,2519.81,2519.813809045145,304038733414.03973,30047329191.503662,2196.0708941789503,2056.431697428627,72.6998860300958,False,False,False,False,False
2025-05-28,2520.23,2700.22,2479.53,2662.09,2662.0940568241435,321357595434.52185,26434151855.253853,2280.802378296258,2095.50668835737,75.1285142680218,False,False,False,False,False
2025-06-01,2662.17,2771.24,2494.41,2532.36,2531.533172761844,305626554525.85474,12942877030.472054,2326.389795471819,2123.6374292866913,73.55334829324838,False,False,False,False,False
2025-06-05,2531.53,2667.17,2482.52,2610.34,2609.9504866476827,315146254015.8943,16820108462.165462,2377.9462847765217,2155.012465245465,81.92282955310722,False,False,False,False,False
