timestamp,open,high,low,close,price,market_cap,total_volume,EMA_10,EMA_30,RSI,fvg_up,fvg_down,fair_value_gap,bullish_engulfing,bearish_engulfing
2025-03-09,3.99,4.05,3.91,4.0,3.9925149258371144,1714734830.1680365,50716090.7385769,3.9925149258371144,3.9925149258371144,,False,False,False,False,False
2025-03-13,4.0,4.06,3.94,3.99,3.9825427212822437,1714844980.3471506,50423079.600349724,3.9907017977362287,3.991871557801317,,False,False,False,False,False
2025-03-17,3.98,4.02,3.97,4.0,3.9880173712424254,1717598727.6959143,49653286.124547675,3.9902137201919006,3.991622900603969,,False,False,False,False,False
2025-03-21,3.99,4.05,3.97,4.03,4.0251376593558765,1734336827.3340654,51425713.57466795,3.9965635273126234,3.9937851431040925,,False,False,False,False,False
2025-03-25,4.03,4.04,4.01,4.02,4.028235729463265,1731396643.618489,51374486.20630372,4.002322109521831,3.9960077615788783,,False,False,False,False,False
2025-03-29,4.03,4.04,4.0,4.02,4.021128898246018,1728918325.6737967,50998038.79386183,4.005741525653502,3.9976284800735327,,False,False,False,False,False
2025-04-02,4.02,4.05,3.99,4.01,4.014173558771566,1727178524.4358857,50682997.33002421,4.007274622584059,3.998695904505664,,False,False,False,False,False
2025-04-06,4.01,4.09,3.96,4.05,4.044259857009704,1739787555.2464998,48546982.303087115,4.013999210661448,4.001635514344635,,False,False,False,False,False
2025-04-10,4.04,4.12,4.0,4.03,4.035823587590471,1735583444.6456954,50531205.07195009,4.017967279193997,4.003841196489527,,False,False,False,False,False
2025-04-14,4.03,4.06,4.02,4.05,4.047290431277927,1741030609.0084386,49641484.35320487,4.023298761391075,4.0066443729274885,,False,False,False,False,False
2025-04-18,4.05,4.24,4.04,4.24,4.236424434953961,1823002389.81936,52121243.14273533,4.062048883857054,4.021468893058229,,False,False,False,False,False
2025-04-22,4.24,4.24,4.22,4.23,4.231060885335595,1819227064.554978,53109635.86930691,4.092778338671335,4.034990957076124,,False,False,False,False,False
2025-04-26,4.23,4.28,4.23,4.28,4.274502727204109,1840179082.1132348,46301397.46409067,4.125819136586385,4.050443329342445,,False,False,False,False,False
2025-04-30,4.27,4.3,4.27,4.29,4.2911970447427095,1847954209.991815,53312417.57958404,4.155887847160262,4.065975827110205,,False,False,False,False,False
2025-05-04,4.29,4.3,4.27,4.29,4.286634642487982,1845723493.0564823,52990932.00129215,4.179659991765302,4.080211879715224,88.81099180039645,False,False,False,False,False
2025-05-08,4.29,4.34,4.28,4.34,4.336738877236133,1861157557.212523,53796036.05839176,4.208219789123635,4.0967620085875405,92.26231153392152,False,False,False,False,False
2025-05-12,4.34,4.37,4.33,4.36,4.363889552152043,1872563563.3806458,56210027.06409728,4.2365233824015265,4.113996043656218,92.64287506880332,False,False,False,False,False
2025-05-16,4.36,4.39,4.36,4.38,4.379234733238195,1880530283.528305,55671752.09365937,4.262470900735466,4.131108217177636,92.26048154518188,False,False,False,False,False
2025-05-20,4.38,4.4,4.37,4.4,4.397433161561661,1888463172.5563796,55353798.37640606,4.287009493612956,4.1482904716540245,92.52973743720837,False,False,False,False,False
2025-05-24,4.4,4.43,4.39,4.42,4.422922064298216,1899599964.723629,56151071.810093336,4.311720870101185,4.166008638921392,94.40407210126547,False,False,False,False,False
2025-05-28,4.41,4.44,4.4,4.42,4.422245712785203,1899289386.211826,56534043.956634805,4.331816296043733,4.182540063041638,95.73269019555298,False,False,False,False,False
2025-06-01,4.42,4.45,4.41,4.43,4.427852274924096,1903879465.6471913,44850580.18975153,4.34927738311289,4.198366657356636,95.48495446382671,False,False,False,False,False
2025-06-05,4.43,4.44,4.4,4.42,4.421588508245524,1898985057.1525407,54575383.253650054,4.362424860409732,4.212768067091403,95.97945453225793,False,False,False,False,False
