timestamp,open,high,low,close,volume,rsi,macd
2025-06-18 12:30:00,0.9997,1.002,0.9994,0.9999,7541.59,48.98159831724691,1.457519469805213e-05
2025-06-18 13:00:00,0.9999,1.004,0.9963,0.9999,7467.84,48.98159831724691,3.571488685683022e-06
2025-06-18 13:30:00,0.9999,1.002,0.9976,0.9998,28924.73,47.61606579330326,-1.3067557206425384e-05
2025-06-18 14:00:00,0.9998,1.004,0.9977,1.0,43760.44,50.58333666363279,-1.0000512737695644e-05
2025-06-18 14:30:00,1.0,1.004,0.9972,1.002,12344.04,69.30679327702599,0.000152060567831791
2025-06-18 15:00:00,1.0,1.003,0.9981,1.0,3744.63,49.22235524846126,0.00011775445639372606
2025-06-18 15:30:00,1.0,1.002,0.999,1.0,90262.7,49.22235524846126,8.953451772986121e-05
2025-06-18 16:00:00,1.0,1.001,0.999,0.9998,4355.15,47.6218414208101,5.0450126836798503e-05
2025-06-18 16:30:00,1.0,1.002,0.9977,0.9998,104772.16,47.6218414208101,1.9253522839823844e-05
2025-06-18 17:00:00,0.9991,1.001,0.9974,1.0,1011.63,49.52528615741567,1.0546741670225401e-05
2025-06-18 17:30:00,0.9992,1.002,0.9965,0.9999,13163.59,48.5747786228218,-4.372209293723728e-06
2025-06-18 18:00:00,0.9999,1.007,0.9971,0.9999,13350.35,48.57477862282181,-1.601102034176627e-05
2025-06-18 18:30:00,0.9999,1.003,0.996,0.9998,3420.62,47.517113965899306,-3.2924493153285717e-05
2025-06-18 19:00:00,0.999,1.001,0.9985,0.9997,8725.04,46.42842016124563,-5.377778959381185e-05
2025-06-18 19:30:00,0.9997,1.001,0.9978,0.9987,982.95,37.23984377332291,-0.0001492750698295353
2025-06-18 20:00:00,1.0,1.001,0.9987,1.0,3562.2,50.85620466252699,-0.00011869003218145657
2025-06-18 20:30:00,1.0,1.002,0.9986,1.001,4196.34,58.34315193859818,-1.360272311601296e-05
2025-06-18 21:00:00,1.0,1.004,0.9991,0.9999,3346.71,49.42351671458738,-1.886363227421306e-05
2025-06-18 21:30:00,0.9999,1.003,0.9978,0.9998,3780.49,48.6946792084382,-3.0747665007546665e-05
2025-06-18 22:00:00,1.001,1.002,0.9982,1.0,1501.13,50.274087838425416,-2.3753700168938074e-05
2025-06-18 22:30:00,1.0,1.001,0.9995,1.0,922.47,50.274087838425416,-1.8003400649613255e-05
2025-06-18 23:00:00,1.0,1.003,0.999,0.9998,969.57,48.54104003099178,-2.9247429223944188e-05
2025-06-18 23:30:00,0.9995,1.002,0.9991,1.0,2681.57,50.383005485571445,-2.1769133329518908e-05
2025-06-19 00:00:00,1.002,1.002,0.9986,1.0,4935.92,50.383005485571445,-1.5661988303050656e-05
2025-06-19 00:30:00,1.0,1.002,0.9987,0.9999,5048.69,49.3584826383086,-1.8675911848675675e-05
2025-06-19 01:00:00,0.9999,1.005,0.9971,1.0,6470.19,50.44371076062701,-1.2847209078459265e-05
2025-06-19 01:30:00,1.001,1.002,0.9998,0.9999,3457.45,49.305828636279344,-1.6111362645010452e-05
2025-06-19 02:00:00,0.9999,1.001,0.9996,1.0,1022.59,50.50811771670388,-1.0507934668502195e-05
2025-06-19 02:30:00,1.0,1.002,0.9995,0.9996,834.75,45.826340669356355,-3.7906867909942576e-05
2025-06-19 03:00:00,0.9999,1.002,0.9996,0.9999,1154.42,49.599703622569145,-3.5009657567419694e-05
2025-06-19 03:30:00,0.9999,1.001,0.9994,1.0,1629.2,50.829155418045715,-2.436358499058322e-05
2025-06-19 04:00:00,1.001,1.0,0.9993,1.0,2430.88,50.8291554180457,-1.5744997245326076e-05
2025-06-19 04:30:00,1.0,1.0,0.9997,0.9999,37668.96,49.43071278653278,-1.6790320268245118e-05
2025-06-19 05:00:00,0.9999,1.001,0.9989,1.0,366.95,50.88591225240715,-9.440754884404434e-06
